Turbidity,Azimuth,Elevation,Normalization,Mean X,Mean Y,Sigma X,Sigma Y,Weight,Volume,MAE,RMSE
10,90,17,17.5,6.283185307,0.184629258,6,0.268311184,0.171019032,1,0.00132438,0.001829371
10,90,17,17.5,1.573149368,0.201259988,0.340050187,0.270989169,0.269807589,1,0.00132438,0.001829371
2,90,17,9.5,4.876262536,3.53E-32,0.913442168,0.210922068,0.109221888,1,0.005119483,0.007526523
2,90,17,9.5,1.064366204,0.0457759,6,0.066913914,0.053159914,1,0.005119483,0.007526523
2,90,17,9.5,2.277788373,5.25E-39,6,0.601037,0.646563747,1,0.005119483,0.007526523
2,90,17,9.5,1.573774566,3.67E-36,0.253949957,0.344924561,0.056395033,1,0.005119483,0.007526523
2,90,17,9.5,1.517968832,3.79E-27,0.740461127,0.23826504,0.134659419,1,0.005119483,0.007526523
3,90,17,16.5,4.935263647,6.56E-17,0.964762215,0.215127806,0.092285067,1,0.00381424,0.005651594
3,90,17,16.5,1.566761059,3.48E-31,0.235715786,0.318135711,0.101938933,1,0.00381424,0.005651594
3,90,17,16.5,1.853910771,5.55E-48,6,0.601557897,0.607112692,1,0.00381424,0.005651594
3,90,17,16.5,1.43E-37,0.054819375,5.059493523,0.06215036,0.047481585,1,0.00381424,0.005651594
3,90,17,16.5,1.553703235,9.34E-46,0.611814891,0.251318441,0.151181723,1,0.00381424,0.005651594
4,90,17,9.5,1.976368219,1.12E-39,6,0.593531543,0.56925716,1,0.003080349,0.004655659
4,90,17,9.5,1.568474474,4.11E-44,0.461308403,0.334404935,0.190055744,1,0.003080349,0.004655659
4,90,17,9.5,1.564776199,0.082281121,0.212302469,0.238420311,0.113209158,1,0.003080349,0.004655659
4,90,17,9.5,4.935832864,0.033044183,1.034142958,0.164774844,0.074095061,1,0.003080349,0.004655659
4,90,17,9.5,1.455483133,0.047978685,0.934944204,0.091674911,0.053382876,1,0.003080349,0.004655659
5,90,17,19.5,1.567152215,9.98E-36,0.439900715,0.348413697,0.235020167,1,0.002650415,0.003956672
5,90,17,19.5,1.769839169,3.38E-38,6,0.600027323,0.533055762,1,0.002650415,0.003956672
5,90,17,19.5,1.564646622,0.117251313,0.207285891,0.217795335,0.128640223,1,0.002650415,0.003956672
5,90,17,19.5,4.977916244,0.064427884,1.065519957,0.15070028,0.056751791,1,0.002650415,0.003956672
5,90,17,19.5,1.496751869,0.055136784,0.81761428,0.085482406,0.046532058,1,0.002650415,0.003956672
6,90,17,17.5,2.780327798,0.083255178,6,0.589462411,0.471214595,1,0.002352645,0.003827607
6,90,17,17.5,1.54856053,1.06E-32,0.474513212,0.384969739,0.244475428,1,0.002352645,0.003827607
6,90,17,17.5,1.567350503,0.15207354,0.214532759,0.201557058,0.155594945,1,0.002352645,0.003827607
6,90,17,17.5,5.513272717,0.089162017,6,0.140861521,0.097392069,1,0.002352645,0.003827607
6,90,17,17.5,1.564776688,0.042858528,0.428390391,0.071732112,0.031322962,1,0.002352645,0.003827607
7,90,17,10.5,1.566658095,0.166290113,0.214694754,0.198158572,0.168340449,1,0.00207054,0.003188524
7,90,17,10.5,2.58563806,0.16556515,6,0.566080821,0.432566046,1,0.00207054,0.003188524
7,90,17,10.5,5.154043292,0.101717523,6,0.145674332,0.092260952,1,0.00207054,0.003188524
7,90,17,10.5,1.5528293,0.003671693,0.474909432,0.390722559,0.276835992,1,0.00207054,0.003188524
7,90,17,10.5,1.566141935,0.052483594,0.424293025,0.073796484,0.02999656,1,0.00207054,0.003188524
8,90,17,10.5,5.505332973,0.016361943,1.665461823,0.588756075,0.194925511,1,0.00199044,0.003142244
8,90,17,10.5,1.255599825,0.233537882,1.611374832,0.526869939,0.273196998,1,0.00199044,0.003142244
8,90,17,10.5,1.563556575,0.183170727,0.205982794,0.192426171,0.156794692,1,0.00199044,0.003142244
8,90,17,10.5,0.373470753,0.11797867,4.103976437,0.093271001,0.051201934,1,0.00199044,0.003142244
8,90,17,10.5,1.570051789,2.42E-14,0.440305808,0.364809868,0.323880866,1,0.00199044,0.003142244
9,90,17,13.5,2.039456657,0.152627983,6,0.119812522,0.051784346,1,0.001741144,0.002474353
9,90,17,13.5,1.417648666,0.155571819,0.863191203,0.504905971,0.170757785,1,0.001741144,0.002474353
9,90,17,13.5,5.830832867,0.245270318,6,0.517054815,0.336080122,1,0.001741144,0.002474353
9,90,17,13.5,1.574459504,0.126820945,0.402824212,0.308787709,0.31019742,1,0.001741144,0.002474353
9,90,17,13.5,1.562294216,0.214990085,0.19813816,0.176984802,0.131180327,1,0.001741144,0.002474353
10,90,20,12.5,1.499948858,0.193159082,0.765845175,0.437704099,0.272214882,1,0.001321408,0.00179741
10,90,20,12.5,6.283185307,0.158011346,6,0.284306156,0.182895711,1,0.001321408,0.00179741
10,90,20,12.5,1.561054813,0.288379187,0.184962996,0.165961696,0.082019918,1,0.001321408,0.00179741
10,90,20,12.5,1.573194998,0.231285176,0.353997863,0.280178956,0.29229107,1,0.001321408,0.00179741
10,90,20,12.5,4.024985895,0.733071458,6,0.37029814,0.170578419,1,0.001321408,0.00179741
2,90,20,11.5,1.439628492,0.043122497,6,0.068927238,0.056072212,1,0.005418246,0.007965959
2,90,20,11.5,4.881263528,1.65E-39,0.931348115,0.211435879,0.109367985,1,0.005418246,0.007965959
2,90,20,11.5,2.43665211,1.12E-42,6,0.608270758,0.636011178,1,0.005418246,0.007965959
2,90,20,11.5,1.577086411,1.08E-31,0.274179592,0.390647898,0.059611115,1,0.005418246,0.007965959
2,90,20,11.5,1.49932303,5.32E-38,0.791188834,0.251031856,0.13893751,1,0.005418246,0.007965959
3,90,20,3.5,3.94E-32,0.050977196,5.328134386,0.066516263,0.052658979,1,0.004199726,0.006235046
3,90,20,3.5,1.54351715,6.33E-41,0.658169995,0.271668623,0.156150424,1,0.004199726,0.006235046
3,90,20,3.5,1.568213848,0.040040966,0.247814705,0.339397765,0.103738361,1,0.004199726,0.006235046
3,90,20,3.5,4.939671146,5.60E-37,0.999338582,0.218247072,0.09588244,1,0.004199726,0.006235046
3,90,20,3.5,2.023642686,0.014065918,6,0.606527775,0.591569796,1,0.004199726,0.006235046
4,90,20,13.5,1.420648144,0.046137694,1.040431913,0.091025003,0.05197915,1,0.003528149,0.005231533
4,90,20,13.5,1.568971463,2.28E-44,0.46740202,0.346593495,0.199413393,1,0.003528149,0.005231533
4,90,20,13.5,1.564325491,0.14082605,0.212494967,0.249698287,0.103574021,1,0.003528149,0.005231533
4,90,20,13.5,4.962838443,0.019631329,1.0682081,0.171113843,0.077106486,1,0.003528149,0.005231533
4,90,20,13.5,1.881161759,4.67E-43,6,0.600448876,0.56792695,1,0.003528149,0.005231533
5,90,20,10.5,1.467074901,0.054376181,0.91681514,0.083889981,0.04454955,1,0.003027763,0.004428637
5,90,20,10.5,1.567815711,5.12E-34,0.44212389,0.363069356,0.247997528,1,0.003027763,0.004428637
5,90,20,10.5,1.5642054,0.172090379,0.206304134,0.227163846,0.116044606,1,0.003027763,0.004428637
5,90,20,10.5,1.667807889,2.37E-40,6,0.606571359,0.531422294,1,0.003027763,0.004428637
5,90,20,10.5,5.005209119,0.049836788,1.108612969,0.157158034,0.059986023,1,0.003027763,0.004428637
6,90,20,12.5,1.566169982,0.042322293,0.424473345,0.072116788,0.02900533,1,0.002632092,0.004234917
6,90,20,12.5,2.804693185,0.039538701,6,0.610571769,0.474085203,1,0.002632092,0.004234917
6,90,20,12.5,1.567866676,0.198433193,0.220853297,0.210450343,0.154397485,1,0.002632092,0.004234917
6,90,20,12.5,5.560002489,0.07822426,6,0.141304089,0.095198048,1,0.002632092,0.004234917
6,90,20,12.5,1.54620956,5.57E-37,0.48951597,0.408699317,0.247313933,1,0.002632092,0.004234917
7,90,20,6.5,1.55106524,1.29E-34,0.489895085,0.415891961,0.281023907,1,0.002303115,0.003498981
7,90,20,6.5,1.567026897,0.211718274,0.220878,0.206905958,0.168037787,1,0.002303115,0.003498981
7,90,20,6.5,2.623922778,0.125700784,6,0.586648121,0.43368613,1,0.002303115,0.003498981
7,90,20,6.5,1.567826576,0.05138242,0.414306459,0.073473996,0.027564225,1,0.002303115,0.003498981
7,90,20,6.5,5.199179275,0.087906376,6,0.145697699,0.08968795,1,0.002303115,0.003498981
8,90,20,9.5,1.554572603,0.096838855,0.502927151,0.393136529,0.310135136,1,0.002093227,0.003009233
8,90,20,9.5,4.593101046,0.090575948,6,0.171295234,0.099395912,1,0.002093227,0.003009233
8,90,20,9.5,1.566299851,0.234747093,0.221152474,0.198937894,0.182145626,1,0.002093227,0.003009233
8,90,20,9.5,2.368936022,0.260962513,6,0.548006021,0.374681227,1,0.002093227,0.003009233
8,90,20,9.5,1.565525575,0.059643113,0.415901533,0.091740922,0.033642099,1,0.002093227,0.003009233
9,90,20,0.5,5.760209675,0.140096455,1.906294983,0.563254933,0.176416577,1,0.001775732,0.002587306
9,90,20,0.5,1.294394224,0.334843418,1.503558097,0.493413039,0.253407486,1,0.001775732,0.002587306
9,90,20,0.5,1.563548713,0.251789857,0.211359219,0.192948175,0.159095842,1,0.001775732,0.002587306
9,90,20,0.5,3.46E-23,0.13055813,4.500078841,0.12888594,0.062474829,1,0.001775732,0.002587306
9,90,20,0.5,1.570080919,0.114133501,0.454804372,0.352623042,0.348605266,1,0.001775732,0.002587306
10,90,23,16.5,1.573538106,0.252431015,0.380028387,0.296805611,0.314115616,1,0.001505822,0.001967717
10,90,23,16.5,1.473464575,0.216713439,0.850385074,0.475250995,0.262521192,1,0.001505822,0.001967717
10,90,23,16.5,1.561543046,0.33027212,0.193812976,0.176769456,0.096151492,1,0.001505822,0.001967717
10,90,23,16.5,6.283185307,0.538260297,6,0.447240602,0.217578009,1,0.001505822,0.001967717
10,90,23,16.5,6.283185307,0.104727096,6,0.241396123,0.10963369,1,0.001505822,0.001967717
2,90,23,10.5,1.482025121,5.97E-31,0.83393802,0.263280652,0.140057713,1,0.005850279,0.008561726
2,90,23,10.5,4.8918506,5.21E-31,0.949447646,0.212207145,0.108184873,1,0.005850279,0.008561726
2,90,23,10.5,2.55451328,5.88E-37,6,0.61388275,0.629940968,1,0.005850279,0.008561726
2,90,23,10.5,1.545536436,0.040665898,6,0.071711499,0.060111306,1,0.005850279,0.008561726
2,90,23,10.5,1.580441391,0.02710399,0.295595864,0.422726886,0.061705139,1,0.005850279,0.008561726
3,90,23,5.5,1.25E-26,0.047269036,5.248290185,0.071641204,0.058891808,1,0.004789929,0.007023822
3,90,23,5.5,1.54433533,4.72E-41,0.657638988,0.290134959,0.15671004,1,0.004789929,0.007023822
3,90,23,5.5,4.962580743,2.68E-39,1.016421982,0.218858081,0.093659423,1,0.004789929,0.007023822
3,90,23,5.5,2.017020001,7.52E-43,6,0.616244517,0.594872193,1,0.004789929,0.007023822
3,90,23,5.5,1.568501136,0.125780126,0.251885598,0.340002604,0.095866536,1,0.004789929,0.007023822
4,90,23,16.5,0.40363628,0.053791687,3.77932383,0.073968791,0.055446676,1,0.00407837,0.005980718
4,90,23,16.5,5.08119157,0.013783788,1.071110129,0.220344324,0.074598856,1,0.00407837,0.005980718
4,90,23,16.5,1.564694934,0.184741176,0.222564203,0.292485672,0.110919929,1,0.00407837,0.005980718
4,90,23,16.5,1.579652408,1.55E-39,6,0.625633938,0.548883323,1,0.00407837,0.005980718
4,90,23,16.5,1.565488375,7.91E-38,0.523541818,0.332183604,0.210151216,1,0.00407837,0.005980718
5,90,23,18.5,1.568108088,2.18E-29,0.446392164,0.384714171,0.255711739,1,0.003495119,0.005041783
5,90,23,18.5,1.608478988,1.32E-37,6,0.609810329,0.534587185,1,0.003495119,0.005041783
5,90,23,18.5,1.563808013,0.23812997,0.205738461,0.230171813,0.103815779,1,0.003495119,0.005041783
5,90,23,18.5,5.03548241,0.038379167,1.144601005,0.161258632,0.062050897,1,0.003495119,0.005041783
5,90,23,18.5,1.437156701,0.054255146,1.009399586,0.083048025,0.0438344,1,0.003495119,0.005041783
6,90,23,11.5,1.542184101,4.68E-18,0.509468714,0.435319717,0.248022845,1,0.003055571,0.004795705
6,90,23,11.5,1.56957178,0.042384835,0.409869593,0.074549975,0.027444184,1,0.003055571,0.004795705
6,90,23,11.5,1.568533032,0.251949022,0.227405541,0.21659217,0.151276762,1,0.003055571,0.004795705
6,90,23,11.5,5.549995271,0.069341863,6,0.140503028,0.093326694,1,0.003055571,0.004795705
6,90,23,11.5,2.895341094,3.80E-28,6,0.627856648,0.479929515,1,0.003055571,0.004795705
